serial,type,student_no,gender,hour,days,class,subjects,location,background,institute,    offer_date,salary
1,Online,1,M/F,2,4,HSC,3,Dhaka,BM,BUET,  24/08/2021,6000
2,Offline,1,F,2,4,O Level,3,"Mirpur, Dhaka",EM,Any,  24/08/2021,10000
3,Offline,1,F,2,3,O Level,1,"Gulshan, Dhaka",EM,Any,  24/08/2021,4000
4,Offline,1,F,2,4,Std. 9,2,"Gulshan, Dhaka",EM,Any,  24/08/2021,8000
5,Offline,1,M,2,4,Std. 8,3,"Mirpur, Dhaka",EM,Any,  24/08/2021,8000
6,Offline,1,M,2,3,O Level,2,"Uttara, Dhaka",EM,Any,  24/08/2021,6000
7,Offline,1,M,2,3,Std.8,4,"Mirpur, Dhaka",EM,BUET,  24/08/2021,7500
8,Offline,1,F,1,5,Std. 6,3,"Uttara, Dhaka",EM,Any,  24/08/2021,5000
9,Offline,1,M,1,5,Std. 7,2,"Raer Bazar, Dhaka",EM,Any,  24/08/2021,5000
10,Offline,1,M,2,3,A Level,2,"Kolabagan, Dhaka",EM,Any,  24/08/2021,6000
11,Offline,1,F,2,3,Class 11,2,"Bashundhara, Dhaka",BM,Any,  25/08/2021,5000
12,Offline,1,M,1,3,Class 11,1,"Jatrabari, Dhaka",BM,Any,  25/08/2021,2000
13,Offline,1,F,1,3,Class 5,1,"Badda, Dhaka",EM,Any,  25/08/2021,3000
14,Offline,1,F,2,3,Class 10,2,"Saidabad, Dhaka",BM,Any,  25/08/2021,4000
15,Offline,1,M,2,3,Class 10,3,"Malibagh, Dhaka",BM,DU,  25/08/2021,5000
16,Offline,1,M/F,1,3,Class 11,2,"Malibagh, Dhaka",BM,SSMC,  25/08/2021,5000
17,Offline,1,F,2,4,Class 11,5,"Mohammadpur, Dhaka",BM,Public,  25/08/2021,7000
18,Offline,1,F,1,4,Class 10,1,"Shantinagar, Dhaka",BM,Public,  25/08/2021,4000
19,Offline,1,M,2,3,Admission,4,"Uttara, Dhaka",BM,DU,26/08/2021,7000
20,Offline,1,F,2,5,Std. 4,3,"Dhanmondi, Dhaka",BM,DU,26/08/2021,6000
21,Offline,1,F,2,4,Class 11,2,"Mohammadpur, Dhaka",BM,Any,26/08/2021,6000
22,Offline,1,F,1,5,Class 10,3,"Green Road, Dhaka",BM,DU,26/08/2021,4000
23,Offline,1,F,2,3,Class 11,3,"Azimpur, Dhaka",BM,BUET,26/08/2021,7000
24,Offline,1,M,2,3,Admission,3,"Uttara, Dhaka",BM,DU,26/08/2021,6000
25,Offline,1,M,2,3,Admission,3,"ECB Chottor, Dhaka",BM,DU,26/08/2021,6000
26,Offline,1,F,2,3,Class 11,3,"Khilgaon, Dhaka",BM,DU,  28/08/2021,6000
27,Offline,1,M,2,4,Admission,3,"Shyamoli, Dhaka",BM,DU,  28/08/2021,7000
28,Online,1,M,2,4,Class 11,2,Dhaka,BM,Public,  28/08/2021,5000
29,Online,1,F,1,6,Class 5,4,Dhaka,EM,Public,  29/08/2021,6000
30,Offline,1,M,2,5,Class 10,4,"Uttara, Dhaka",EM,Any,  29/08/2021,10000
31,Offline,1,M,2,3,Class 4,1,"Baridhara, Dhaka",EM,Any,  29/08/2021,5000
32,Offline,1,M,2,3,Class 10,4,"Shewrapara, Dhaka",BM,BUET,  29/08/2021,8000
33,Offline,1,F,2,3,Std. 7,5,"Baridhara, Dhaka",EM,Any,  29/08/2021,7000
34,Offline,1,F,2,3,Class 8,3,"Lalbagh, Dhaka",BM,DU/Medical,  29/08/2021,5000
35,Offline,1,F,2,4,Class 7,5,"Mirpur, Dhaka",BM,DU/JU,  29/08/2021,6000
36,Offline,1,F,2,5,Std. 1,5,Chittagong,EM,Any,  29/08/2021,6000
37,Offline,2,F,2,3,Class 9 & 6,6,"Dhanmondi, Dhaka",BM,BUET,  29/08/2021,12000
38,Offline,1,F,2,4,Class 9,3,"Agrabad, Chittagong",EM,Any,  29/08/2021,6000
39,Offline,1,F,1,3,Std. 2,5,"Nirjhor Cant, Dhaka",EM,Any,  29/08/2021,3000
40,Offline,2,F,1,5,Class 10 & 6,7,"Sunamganj, Sylhet",BM,Any,  29/08/2021,5000
